benchmark,kind,profile,scenario,frontend,backend,linker,borrowck,typeck,metadata
cfg-if-1.0.0,lib,Check,IncrPatched0,7463065,22162350,12222,291589,400402,688289
cfg-if-1.0.0,lib,Check,IncrFull,4254332,1735843,12502,0,122572,656720
cfg-if-1.0.0,lib,Check,IncrUnchanged,3443191,1780472,11804,0,52521,590860
cfg-if-1.0.0,lib,Debug,IncrFull,4326408,2280399,239975,0,122293,738296
cfg-if-1.0.0,lib,Debug,Full,2999488,1866587,259042,0,79131,499856
cfg-if-1.0.0,lib,Opt,Full,2917634,2582742,241373,0,78712,428129
cfg-if-1.0.0,lib,Check,Full,2886624,1496217,11384,0,79689,412625
cfg-if-1.0.0,lib,Debug,IncrUnchanged,3630437,1958289,234668,0,49936,668315
chrono-0.4.35,lib,Check,IncrUnchanged,1002973674,136306313,15086,0,178254861,242367855
chrono-0.4.35,lib,Opt,IncrFull,5375269030,1907225694,4095303,736379372,1100080835,537711417
chrono-0.4.35,lib,Opt,IncrUnchanged,1072297635,536151297,3681351,0,178042126,304696749
chrono-0.4.35,lib,Check,IncrPatched0,1243685724,131404759,15644,307024,217699449,264765362
chrono-0.4.35,lib,Debug,IncrPatched0,1604402159,271554737,6620845,306396,217301074,617390219
chrono-0.4.35,lib,Debug,IncrFull,5778932489,1615924555,6601220,743896974,1100489889,915609853
chrono-0.4.35,lib,Debug,Full,4466560943,1370295649,5544376,633021199,704758929,687109885
chrono-0.4.35,lib,Opt,IncrPatched0,1316129236,543544382,3322994,312750,219513028,320449246
chrono-0.4.35,lib,Debug,IncrUnchanged,1358457153,268097507,6895672,0,177102476,591091569
chrono-0.4.35,lib,Opt,Full,4828431535,1573211177,3546488,631041593,709861353,1026904632
chrono-0.4.35,lib,Check,Full,3744971212,437157507,17251,637189170,709350662,187569706
chrono-0.4.35,lib,Check,IncrFull,4856114462,452495145,16273,745581077,1106914682,288559491
crossbeam-channel-0.5.12,lib,Check,IncrPatched0,474786573,66716481,15155,314008,93450664,93116401
crossbeam-channel-0.5.12,lib,Debug,Full,1533559107,336835837,1608522,206524990,248312569,208205813
crossbeam-channel-0.5.12,lib,Debug,IncrFull,2095558233,433787940,2217262,241316337,426400164,297327553
crossbeam-channel-0.5.12,lib,Check,IncrUnchanged,391302378,40786804,14457,0,75103621,85385074
crossbeam-channel-0.5.12,lib,Check,IncrFull,1787496927,139212426,15854,241580760,426532653,100896339
crossbeam-channel-0.5.12,lib,Opt,Full,1734516273,393046533,1492585,207199663,252271751,399392342
crossbeam-channel-0.5.12,lib,Opt,IncrPatched0,512208969,181159718,1288648,314496,93428733,125602111
crossbeam-channel-0.5.12,lib,Opt,IncrFull,2040787536,475873310,1320914,241932101,426884726,235461503
crossbeam-channel-0.5.12,lib,Debug,IncrPatched0,580235119,109482317,2088963,310376,93787300,192391856
crossbeam-channel-0.5.12,lib,Opt,IncrUnchanged,430239219,175185886,1289766,0,75098942,119493904
crossbeam-channel-0.5.12,lib,Check,Full,1298276887,127139045,27937,206670893,249947490,68447226
crossbeam-channel-0.5.12,lib,Debug,IncrUnchanged,493899430,109261967,2173540,0,74866020,182742748
crossbeam-epoch-0.9.18,lib,Debug,IncrPatched0,371392702,80085074,1708606,305558,68608840,125613845
crossbeam-epoch-0.9.18,lib,Debug,IncrFull,1199702234,426004304,1881394,114733575,314416192,176884853
crossbeam-epoch-0.9.18,lib,Check,IncrPatched0,288669640,46982523,14667,297106,68633633,50638244
crossbeam-epoch-0.9.18,lib,Debug,Full,834660370,329843785,1231168,93736439,176923685,127606985
crossbeam-epoch-0.9.18,lib,Check,IncrUnchanged,240288537,24550794,14457,0,57808253,47748337
crossbeam-epoch-0.9.18,lib,Check,Full,684522271,126215320,14667,92818517,174954082,35329590
crossbeam-epoch-0.9.18,lib,Opt,Full,893848486,405703023,920931,93299815,174998432,190524432
crossbeam-epoch-0.9.18,lib,Opt,IncrFull,1118385435,484660994,938811,114097085,315074799,97994839
crossbeam-epoch-0.9.18,lib,Opt,IncrPatched0,308300652,148686022,843826,300179,68721565,62986799
crossbeam-epoch-0.9.18,lib,Check,IncrFull,1008079751,135326788,14527,114773231,317630931,53686900
crossbeam-epoch-0.9.18,lib,Debug,IncrUnchanged,320360551,80158478,1754142,0,57547883,121656409
crossbeam-epoch-0.9.18,lib,Opt,IncrUnchanged,264228428,145176621,866735,0,57728774,60022792
digest-0.10.7,lib,Debug,IncrUnchanged,141444635,13809992,477786,0,23643273,32758022
digest-0.10.7,lib,Opt,Full,469858905,2971573884,522694,42487872,118111320,98456143
digest-0.10.7,lib,Check,IncrFull,500872701,1775586371,14388,52423676,173538882,31227094
digest-0.10.7,lib,Opt,IncrFull,587905832,2551489424,448942,53055049,173732344,84479439
digest-0.10.7,lib,Check,Full,368027105,1769263189,13968,42633416,118024157,20640851
digest-0.10.7,lib,Debug,Full,404629210,2469522389,485399,42643818,118004532,33824504
digest-0.10.7,lib,Check,IncrPatched0,169865702,45814143,12851,300039,28412895,28304711
digest-0.10.7,lib,Opt,IncrUnchanged,142563149,14777298,464586,0,23582021,34348036
digest-0.10.7,lib,Check,IncrUnchanged,131863623,12920210,12432,0,23440103,26555667
digest-0.10.7,lib,Debug,IncrPatched0,180210642,46524294,430084,299481,28622909,35534017
digest-0.10.7,lib,Debug,IncrFull,551130797,2480251601,463259,53390698,174578056,47400107
digest-0.10.7,lib,Opt,IncrPatched0,178960967,44288314,422472,304300,28350876,35537439
either-1.10.0,lib,Opt,IncrPatched0,242679823,47406524,509776,298505,55824289,43818954
either-1.10.0,lib,Opt,Full,608872918,751242788,585904,73201029,165798902,85387814
either-1.10.0,lib,Check,IncrFull,726458170,437239793,14947,94181271,291360777,40275947
either-1.10.0,lib,Debug,IncrUnchanged,175227561,16918155,477090,0,50040404,42922953
either-1.10.0,lib,Check,IncrUnchanged,159973953,15460625,13270,0,50185885,32808169
either-1.10.0,lib,Debug,IncrFull,818865912,649061152,551681,94035922,291112270,67604108
either-1.10.0,lib,Check,IncrPatched0,223789907,43655388,12921,292288,55320314,33523211
either-1.10.0,lib,Debug,IncrPatched0,243309945,46579178,570468,303044,55484440,45139247
either-1.10.0,lib,Debug,Full,568857781,634117995,544348,73306560,164848569,46917633
either-1.10.0,lib,Opt,IncrFull,827569931,670179296,556012,93245997,290339668,79902498
either-1.10.0,lib,Opt,IncrUnchanged,176534366,17432262,493783,0,50254467,43499916
either-1.10.0,lib,Check,Full,503983318,428606918,21511,74277364,165791579,25829007
env_logger-0.11.3,lib,Opt,IncrUnchanged,182585654,283641435,916954,0,52962230,34682301
env_logger-0.11.3,lib,Opt,IncrPatched0,212082751,284155958,909551,311145,59351646,35696334
env_logger-0.11.3,lib,Check,Full,496084616,96336294,15714,79817012,151527185,21348645
env_logger-0.11.3,lib,Check,IncrPatched0,202357911,38116569,15365,309609,59244444,32286655
